                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 2.0994,                 1.2352,                 1.0693,                0.16427,                0.12036,                0.12218,                0.06649,                 2.9296,                 1.9246,                 1.3619,               0.005413,               0.005413,               0.005413
                    141,                 2.0597,                 1.2473,                 1.0972,                0.16625,                0.11974,                0.12214,                 0.0665,                 2.9297,                 1.9249,                 1.3621,                0.00538,                0.00538,                0.00538
                    142,                 2.0957,                 1.2241,                 1.0719,                0.16696,                0.11946,                0.12213,                 0.0666,                 2.9297,                 1.9246,                 1.3623,               0.005347,               0.005347,               0.005347
                    143,                 2.1054,                 1.2633,                 1.0962,                0.16757,                0.11929,                0.12213,                0.06652,                 2.9295,                 1.9257,                 1.3625,               0.005314,               0.005314,               0.005314
                    144,                 2.1063,                 1.2198,                 1.0697,                0.16841,                 0.1189,                0.12204,                0.06648,                 2.9295,                 1.9266,                 1.3626,               0.005281,               0.005281,               0.005281
                    145,                 2.0579,                  1.212,                 1.0756,                0.16848,                0.11918,                0.12212,                 0.0665,                 2.9296,                 1.9277,                 1.3628,               0.005248,               0.005248,               0.005248
                    146,                  2.031,                 1.2062,                 1.0757,                0.16782,                0.11951,                0.12206,                0.06647,                 2.9294,                 1.9281,                 1.3624,               0.005215,               0.005215,               0.005215
                    147,                 2.0397,                 1.2061,                 1.0794,                0.16706,                0.11969,                0.12204,                0.06651,                 2.9294,                 1.9295,                 1.3627,               0.005182,               0.005182,               0.005182
                    148,                 2.0133,                 1.1998,                  1.073,                0.16423,                0.12059,                0.12214,                0.06653,                 2.9299,                 1.9303,                 1.3635,               0.005149,               0.005149,               0.005149
                    149,                  2.063,                 1.2109,                 1.0671,                0.16474,                0.12081,                0.12207,                0.06647,                 2.9299,                 1.9318,                 1.3634,               0.005116,               0.005116,               0.005116
